cle;Respondent_ID;weight;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;A1bis;A2;A6_1_slice;A6_2_slice;A6_3_slice;A6_4_slice;A6_5_slice;A6_6_slice;A7;B5_1_slice;B5_2_slice;B5_3_slice;B5_4_slice;B5_5_slice;B5_6_slice;C201;C202;C203;C204;C205;C206;C207;C208;C209;C210;C211;C212;C213;C214;C215;C216;C217;C218;C219;C220;C301;C302;C303;C304;C305;C306;C307;C308;C309;C310;C311;C4_1_slice;C4_2_slice;C4_3_slice;C4_4_slice;rs3;rs5;rs6;RS1;RS191;RS192;RS193;RS102RECAP;rs11recap2;RS11recap;RS193bis;RS2Recap;RS56Recap;RS2;RS11;RS102
1;MET20_999999996;2.5012547902;1;0;0;0;1;2;;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;100;0;0;0;0;0;45;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;2;2;1;1;5;1;1;2;2;4;1;2;;1;1;24;0;4
2;MET20_98888888;0.7229139838;1;0;0;0;1;5;;2;0;0;0;2;2;2;2;3;3;3;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;100;0;0;0;0;0;1;3;3;3;3;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;2;1;1;2;2;1;1;2;;4;1;50;0;1
3;MET20_1978307;1.0396114026;1;0;0;0;1;2;;5;5;1;1;2;2;2;3;3;3;4;4;4;4;4;4;4;4;4;4;3;2;2;2;3;2;2;2;2;2;2;3;2;3;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;80;0;5;5;0;10;5;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;6;6;7;7;1;1;9;2;1;1;2;3;2;1;;3;2;37;1;3
4;MET20_1302078;0.9765900354;1;1;1;0;1;1;;2;3;2;1;4;3;4;3;3;4;4;4;4;5;5;5;5;5;4;4;1;2;2;2;3;2;3;2;1;2;1;3;3;1;2;3;2;2;3;2;2;3;2;3;2;2;1;2;1;2;3;3;3;2;2;1;2;1;1;30;5;25;15;20;5;25;3;4;4;4;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;7;7;7;2;3;;2;1;2;2;2;1;2;;5;3;63;0;2
5;MET20_1869308;0.8123145762;0;1;0;0;2;;1;1;1;1;1;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;0;0;5;0;95;1;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;1;6;1;2;2;2;3;2;1;;3;1;44;1;3
6;MET20_1829765;0.6947629021;1;0;0;0;1;2;;0;1;0;0;3;3;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;4;3;3;3;3;3;3;4;4;3;3;3;4;3;3;2;2;3;2;3;2;2;3;2;2;2;3;2;2;2;3;3;2;2;3;3;1;1;100;0;0;0;0;0;1;3;4;4;4;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;7;6;7;1;1;8;2;1;2;2;4;3;1;;3;1;37;2;4
7;MET20_1217616;1.3100912782;1;0;0;0;1;1;;4;2;0;0;2;2;3;3;4;4;4;5;5;5;5;5;5;5;5;5;4;3;3;2;2;3;1;3;1;2;2;3;2;3;3;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;50;20;0;0;30;0;0;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;2;9;2;1;1;2;2;1;2;;2;2;29;0;2
8;MET20_7007782;1.6081719674;1;0;1;0;1;2;;8;4;10;10;2;3;2;3;2;2;2;3;2;2;1;3;1;3;3;2;1;2;2;2;3;2;2;2;1;1;1;1;2;2;2;2;2;1;3;2;2;4;2;2;2;1;2;2;1;2;2;2;1;2;2;2;1;1;3;40;10;20;10;20;0;6;2;2;1;2;2;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;3;2;3;2;1;1;9;1;1;2;2;4;3;1;;2;2;26;2;4
9;MET20_1210371;0.8781347445;1;0;1;0;3;;4;1;1;1;0;4;4;4;4;3;3;3;4;4;5;5;5;5;5;5;5;2;2;2;2;3;2;3;3;2;2;2;3;4;2;2;3;1;1;3;2;2;2;1;2;2;2;1;4;2;1;2;3;3;3;2;2;2;3;1;40;2;8;10;;40;2;2;4;4;3;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;7;6;7;7;2;3;;2;1;2;2;2;1;2;;6;3;73;0;2
10;MET20_1879265;0.7631943152;1;0;0;0;1;2;;3;3;1;1;3;3;3;3;3;4;4;4;4;5;5;4;5;5;5;4;1;3;4;2;3;1;2;2;3;2;2;2;2;1;2;3;1;1;2;1;1;4;4;2;1;1;1;1;1;1;2;1;2;2;2;3;3;1;1;30;5;20;25;0;20;30;3;4;4;4;4;4;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;7;6;7;7;2;1;8;2;1;2;2;4;3;1;;3;1;36;2;4
